STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:UKM00003334,MANCHESTER UK,20010516,165,88
GHCND:UKM00003334,MANCHESTER UK,20010517,142,78
GHCND:UKM00003334,MANCHESTER UK,20010518,142,-9999
GHCND:UKM00003334,MANCHESTER UK,20010519,153,70
GHCND:UKM00003334,MANCHESTER UK,20010520,168,-9999
GHCND:UKM00003334,MANCHESTER UK,20010521,191,96
GHCND:UKM00003334,MANCHESTER UK,20010523,225,-9999
GHCND:UKM00003334,MANCHESTER UK,20010524,-9999,115
GHCND:UKM00003334,MANCHESTER UK,20010525,197,77
GHCND:UKM00003334,MANCHESTER UK,20010526,220,127
GHCND:UKM00003334,MANCHESTER UK,20010527,185,-9999
GHCND:UKM00003334,MANCHESTER UK,20010528,204,-9999
GHCND:UKM00003334,MANCHESTER UK,20010529,195,105
GHCND:UKM00003334,MANCHESTER UK,20010530,191,-9999
GHCND:UKM00003334,MANCHESTER UK,20010531,152,93
GHCND:UKM00003334,MANCHESTER UK,20010601,-9999,108
GHCND:UKM00003334,MANCHESTER UK,20010602,148,-9999
GHCND:UKM00003334,MANCHESTER UK,20010603,144,41
GHCND:UKM00003334,MANCHESTER UK,20010604,154,-9999
GHCND:UKM00003334,MANCHESTER UK,20010605,192,73
GHCND:UKM00003334,MANCHESTER UK,20010606,145,-9999
GHCND:UKM00003334,MANCHESTER UK,20010607,136,-9999
GHCND:UKM00003334,MANCHESTER UK,20010608,133,-9999
GHCND:UKM00003334,MANCHESTER UK,20010609,135,66
GHCND:UKM00003334,MANCHESTER UK,20010610,157,54
GHCND:UKM00003334,MANCHESTER UK,20010611,150,-9999
GHCND:UKM00003334,MANCHESTER UK,20010612,154,99
GHCND:UKM00003334,MANCHESTER UK,20010613,186,105
GHCND:UKM00003334,MANCHESTER UK,20010614,201,95
GHCND:UKM00003334,MANCHESTER UK,20010615,201,-9999
GHCND:UKM00003334,MANCHESTER UK,20010617,137,102
GHCND:UKM00003334,MANCHESTER UK,20010618,-9999,95
GHCND:UKM00003334,MANCHESTER UK,20010619,195,-9999
GHCND:UKM00003334,MANCHESTER UK,20010620,183,-9999
GHCND:UKM00003334,MANCHESTER UK,20010621,150,90
GHCND:UKM00003334,MANCHESTER UK,20010622,200,71
GHCND:UKM00003334,MANCHESTER UK,20010623,206,114
GHCND:UKM00003334,MANCHESTER UK,20010624,235,109
GHCND:UKM00003334,MANCHESTER UK,20010625,264,128
GHCND:UKM00003334,MANCHESTER UK,20010626,-9999,187
GHCND:UKM00003334,MANCHESTER UK,20010627,219,-9999
GHCND:UKM00003334,MANCHESTER UK,20010628,205,-9999
GHCND:UKM00003334,MANCHESTER UK,20010629,221,-9999
GHCND:UKM00003334,MANCHESTER UK,20010630,197,120
GHCND:UKM00003334,MANCHESTER UK,20010701,225,134
GHCND:UKM00003334,MANCHESTER UK,20010702,258,164
GHCND:UKM00003334,MANCHESTER UK,20010703,265,-9999
GHCND:UKM00003334,MANCHESTER UK,20010704,-9999,169
GHCND:UKM00003334,MANCHESTER UK,20010705,285,167
GHCND:UKM00003334,MANCHESTER UK,20010706,256,-9999
GHCND:UKM00003334,MANCHESTER UK,20010707,215,-9999
GHCND:UKM00003334,MANCHESTER UK,20010708,153,-9999
GHCND:UKM00003334,MANCHESTER UK,20010709,199,135
GHCND:UKM00003334,MANCHESTER UK,20010710,191,-9999
GHCND:UKM00003334,MANCHESTER UK,20010711,161,-9999
GHCND:UKM00003334,MANCHESTER UK,20010712,173,-9999
GHCND:UKM00003334,MANCHESTER UK,20010713,171,-9999
GHCND:UKM00003334,MANCHESTER UK,20010714,167,70
GHCND:UKM00003334,MANCHESTER UK,20010715,162,-9999
GHCND:UKM00003334,MANCHESTER UK,20010716,193,54
GHCND:UKM00003334,MANCHESTER UK,20010717,211,-9999
GHCND:UKM00003334,MANCHESTER UK,20010719,158,104
GHCND:UKM00003334,MANCHESTER UK,20010720,192,92
GHCND:UKM00003334,MANCHESTER UK,20010721,188,125
GHCND:UKM00003334,MANCHESTER UK,20010722,190,-9999
GHCND:UKM00003334,MANCHESTER UK,20010723,230,129
GHCND:UKM00003334,MANCHESTER UK,20010724,213,110
GHCND:UKM00003334,MANCHESTER UK,20010725,230,138
GHCND:UKM00003334,MANCHESTER UK,20010726,249,126
GHCND:UKM00003334,MANCHESTER UK,20010727,251,117
GHCND:UKM00003334,MANCHESTER UK,20010728,265,130
GHCND:UKM00003334,MANCHESTER UK,20010729,263,-9999
GHCND:UKM00003334,MANCHESTER UK,20010730,240,-9999
GHCND:UKM00003334,MANCHESTER UK,20010731,222,-9999
GHCND:UKM00003334,MANCHESTER UK,20010801,249,99
GHCND:UKM00003334,MANCHESTER UK,20010802,237,-9999
GHCND:UKM00003334,MANCHESTER UK,20010804,193,102
GHCND:UKM00003334,MANCHESTER UK,20010805,-9999,105
GHCND:UKM00003334,MANCHESTER UK,20010806,175,124
GHCND:UKM00003334,MANCHESTER UK,20010807,201,113
GHCND:UKM00003334,MANCHESTER UK,20010808,178,-9999
GHCND:UKM00003334,MANCHESTER UK,20010809,183,108
GHCND:UKM00003334,MANCHESTER UK,20010810,188,94
GHCND:UKM00003334,MANCHESTER UK,20010811,-9999,109
GHCND:UKM00003334,MANCHESTER UK,20010812,190,-9999
GHCND:UKM00003334,MANCHESTER UK,20010813,223,161
GHCND:UKM00003334,MANCHESTER UK,20010814,249,167
GHCND:UKM00003334,MANCHESTER UK,20010815,249,-9999
GHCND:UKM00003334,MANCHESTER UK,20010816,200,-9999
GHCND:UKM00003334,MANCHESTER UK,20010817,-9999,114
GHCND:UKM00003334,MANCHESTER UK,20010818,212,138
GHCND:UKM00003334,MANCHESTER UK,20010819,213,-9999
GHCND:UKM00003334,MANCHESTER UK,20010820,201,-9999
GHCND:UKM00003334,MANCHESTER UK,20010821,214,-9999
GHCND:UKM00003334,MANCHESTER UK,20010822,214,134
GHCND:UKM00003334,MANCHESTER UK,20010823,230,139
GHCND:UKM00003334,MANCHESTER UK,20010824,-9999,140
GHCND:UKM00003334,MANCHESTER UK,20010825,241,-9999
GHCND:UKM00003334,MANCHESTER UK,20010826,202,-9999
GHCND:UKM00003334,MANCHESTER UK,20010827,190,-9999
GHCND:UKM00003334,MANCHESTER UK,20010828,207,67
GHCND:UKM00003334,MANCHESTER UK,20010829,222,90
GHCND:UKM00003334,MANCHESTER UK,20010831,186,103
GHCND:UKM00003334,MANCHESTER UK,20010901,186,95
